Date,Trust_Value,Open,High,Low,Volume,Close
2020/10/30,74.44,50.1,51.3,49.85,"176,665",51.2
2020/10/29,73.14,49.95,50.3,49.85,"94,924",50.3
2020/10/28,73.43,50.7,50.8,50.1,"79,289",50.5
2020/10/27,73.82,51.4,51.4,50.6,"130,570",50.7
2020/10/26,74.98,51.1,51.7,50.9,"164,157",51.5
2020/10/23,74.11,50.1,51.1,50.1,"131,485",50.9
2020/10/22,72.8,50.2,50.4,50,"228,828",50
2020/10/21,73.19,50.8,50.8,50,"100,774",50.2
2020/10/20,73.83,50.2,50.6,50,"95,011",50.6
2020/10/19,73.1,50.2,50.5,49.9,"123,829",50.1
2020/10/16,136.29,50,50.4,49.95,"86,333",50.2
2020/10/15,135.61,50.1,50.3,49.8,"105,261",49.95
2020/10/14,186.12,50.1,50.3,49.85,"75,436",50.1
2020/10/13,186.12,50.1,50.4,49.75,"110,873",50.1
2020/10/12,194.88,50.6,50.6,49.95,"136,198",50.5
2020/10/8,195.13,50.7,50.9,50.4,"84,800",50.5
2020/10/7,195.57,50.8,50.8,50.5,"58,528",50.6
2020/10/6,196.73,50.7,51.2,50.5,"147,166",50.9
2020/10/5,195.57,50.6,50.7,50.1,"69,407",50.6
2020/9/30,195.96,50.5,50.7,50.2,"67,474",50.7
2020/9/29,352.81,50.5,50.8,50.1,"64,019",50.2
2020/9/28,355.72,49.65,50.5,49.6,"97,764",50.4
2020/9/25,349.02,49.2,49.8,49.2,"143,620",49.45
2020/9/24,347.25,50.1,50.2,49.1,"343,858",49.2
2020/9/23,357.13,51.4,51.5,50.5,"127,116",50.6
2020/9/22,362.13,52.5,52.5,51.1,"190,012",51.3
2020/9/21,370.7,52.8,52.8,52.4,"90,507",52.5
2020/9/18,372.82,52.3,52.8,52,"113,165",52.8
2020/9/17,370.15,52,52.5,51.8,"84,991",52.2
2020/9/16,370.67,52.2,52.3,51.8,"74,252",51.9
2020/9/15,371.59,52.6,52.9,51.8,"152,707",52
2020/9/14,376.75,51.5,52.7,51.3,"125,319",52.7
2020/9/11,366.03,52,52.1,51.1,"138,722",51.2
2020/9/10,375.5,52.2,52.5,51.8,"91,151",51.8
2020/9/9,381.63,52.2,52.4,51.8,"143,547",52
2020/9/8,385.3,52.7,53,52.5,"99,671",52.5
2020/9/7,392.93,53.2,53.5,52.6,"123,208",52.7
2020/9/4,395.91,52.2,53.1,51.9,"252,656",53.1
2020/9/3,392.19,52.9,53.4,52.5,"203,824",52.6
2020/9/2,392.13,53.4,53.5,52.5,"275,983",52.6
2020/9/1,398.1,54.4,54.4,52.7,"413,603",53.4
2020/8/31,404.81,54.5,54.7,54.3,"112,468",54.3
2020/8/28,406.98,54.7,55,54.2,"397,456",54.3
2020/8/27,426.47,57.2,57.5,56.7,"222,461",56.9
2020/8/26,428.71,57.5,57.5,57,"174,531",57.2
2020/8/25,425.17,57.1,57.9,57.1,"163,121",57.3
2020/8/24,406.27,57.2,57.6,56.8,"89,823",56.9
2020/8/21,408.35,56.7,57.4,56.6,"190,521",57.2
2020/8/20,404.78,58.6,58.6,55.6,"502,955",56.7
2020/8/19,419.77,59.6,59.7,58.6,"281,244",58.8
2020/8/18,399.62,58.9,59.5,58.2,"327,868",59.3
2020/8/17,277.65,57.8,59.8,57.8,"517,363",59.1
2020/8/14,263.81,56.8,57.7,56.8,"148,495",57.5
2020/8/13,261.52,57.3,57.4,56.7,"101,382",57
2020/8/12,261.52,56.8,57.5,56.8,"127,971",57
2020/8/11,261.46,56.8,57.4,56.5,"113,868",57
2020/8/10,261.46,57.1,57.4,56.5,"139,253",57
2020/8/7,256.84,57,57.4,56.6,"160,252",57.1
2020/8/6,256.39,57.8,58,56.5,"241,205",57
2020/8/5,269.2,55.9,57.5,55.8,"246,046",57.3
2020/8/4,261.21,55.6,55.9,55.4,"128,096",55.6
2020/8/3,260.27,55.8,55.8,55.1,"146,881",55.4
