Date,Open,High,Low,Close,Volume
1/2/2019,324,324.5,314,314,9175
1/3/2019,311.5,317,301.5,303,14718
1/4/2019,296,296,287,289.5,23784
1/7/2019,299.5,300.5,296,296.5,9951
1/8/2019,298,298,293.5,294,6907
1/9/2019,298,319,298,303.5,24982
1/10/2019,307.5,310,302.5,304.5,15329
1/11/2019,306,313,304.5,306,14790
1/14/2019,308,309.5,303,307,7295
1/15/2019,308.5,316,307.5,314,11358
1/16/2019,316.5,320.5,315,317.5,9824
1/17/2019,322.5,324.5,313.5,313.5,9627
1/18/2019,318,319,314,318.5,7909
1/21/2019,326,326.5,320,320,8468
1/22/2019,320,321,315,316.5,5767
1/23/2019,312.5,316.5,311.5,316.5,4711
1/24/2019,317.5,319.5,315,315,3929
1/25/2019,319.5,331.5,318.5,328.5,18891
1/28/2019,333,339.5,326.5,328,13668
1/29/2019,323,323.5,318,321,7686
1/30/2019,324.5,326,321.5,321.5,7046
2/11/2019,326.5,328.5,322,328,6276
2/12/2019,334.5,352,334,352,24380
2/13/2019,362.5,383,361.5,382.5,29619
2/14/2019,384,385.5,373.5,375.5,16369
2/15/2019,368,371.5,360,360,15462
2/18/2019,368,373.5,366,371.5,10808
2/19/2019,372.5,374.5,367.5,368,8033
2/20/2019,374.5,384,373,373,13150
2/21/2019,376,381.5,369.5,381,8594
2/22/2019,381,385,375.5,375.5,12199
2/25/2019,381,381,375,375,7519
2/26/2019,376,386.5,372,372,13783
2/27/2019,362,364.5,343,346,22165
3/4/2019,346,349.5,341,349.5,9425
3/5/2019,346,346,340,340,6371
3/6/2019,341,347,338.5,339.5,5770
3/7/2019,341,342.5,327.5,336,7001
3/8/2019,330,337.5,328,336.5,7052
3/11/2019,332.5,340,331,339.5,5660
3/12/2019,342,344,332,332,9077
3/13/2019,333.5,338,330.5,338,4997
3/14/2019,339,342.5,333,339,7614
3/15/2019,344.5,356,344,345.5,19451
3/18/2019,351,351.5,341,341,7615
3/19/2019,341.5,343,332,333.5,7612
3/20/2019,334.5,337.5,332,334.5,6495
3/21/2019,335.5,336,332.5,334.5,4937
3/22/2019,337.5,340,331,331,8066
3/25/2019,321.5,322.5,315.5,318,9332
3/26/2019,320,324,320,323,5450
3/27/2019,325,326.5,321,324,5289
3/28/2019,324,325.5,322,322,2423
3/29/2019,325,327,323,323,3952
4/1/2019,326.5,327,319,321,4327
4/2/2019,321.5,325,319,320,4582
