DATE,OPEN,HIGHEST,LOWEST,CLOSE,VOLUME
2019/01/02,229.5,229.5,220.5,220.5,4284.00
2019/01/03,224,226,221,223.5,3718.00
2019/01/04,218.5,218.5,213.5,217,6492.00
2019/01/07,221,221.5,217.5,219,7008.00
2019/01/08,221,222.5,218.5,222,4626.00
2019/01/09,225.5,231.5,224,226,8817.00
2019/01/10,226,228,223,226,2881.00
2019/01/11,227,229,226,227.5,2023.00
2019/01/14,231.5,234,230,231.5,4203.00
2019/01/15,233.5,233.5,231.5,233,4945.00
2019/01/16,233,238,232,237,4464.00
2019/01/17,237.5,239,234.5,237,3010.00
2019/01/18,239.5,244.5,239,244,6656.00
2019/01/21,247,249,243.5,244.5,4439.00
2019/01/22,246.5,248,241,242,4435.00
2019/01/23,240.5,241,237,241,3064.00
2019/01/24,242.5,248,242,244.5,6357.00
2019/01/25,246.5,249.5,245,248,6402.00
2019/01/28,247.5,249,246.5,248.5,4014.00
2019/01/29,245,248,244,245.5,4277.00
2019/01/30,245.5,245.5,241.5,243,5074.00
2019/02/11,252.5,259.5,249.5,259.5,19458.00
2019/02/12,257,259.5,256,257.5,6519.00
2019/02/13,259.5,261.5,256.5,259,5523.00
2019/02/14,257,259,255.5,255.5,3051.00
2019/02/15,254.5,258,250.5,252,4364.00
2019/02/18,254.5,254.5,251,253.5,3795.00
2019/02/19,252,252.5,249,250,3647.00
2019/02/20,251.5,258,251.5,255.5,8261.00
2019/02/21,254,259.5,253.5,259,6240.00
2019/02/22,260,271,259.5,264,16461.00
2019/02/25,271,282.5,270.5,282.5,20311.00
2019/02/26,283.5,293,276.5,276.5,15256.00
2019/02/27,280,282,274,280,9345.00
2019/03/04,280,283.5,277,277,7996.00
2019/03/05,275.5,279,272,273,5726.00
2019/03/06,274,281.5,274,280,9173.00
2019/03/07,277.5,279,272.5,274,4456.00
2019/03/08,270,271.5,266,267.5,7692.00
2019/03/11,267.5,272.5,267.5,270,3485.00
2019/03/12,274.5,276,270,270.5,4929.00
2019/03/13,270,273.5,269,273,2627.00
