Date,Price,Volume
1/5/2015,24.1,13346.00
1/6/2015,23.8,23076.00
1/7/2015,23.7,18109.00
1/8/2015,23.8,16584.00
1/9/2015,23.8,16192.00
1/12/2015,23.7,7833.00
1/13/2015,23.9,17746.00
1/14/2015,23.8,16005.00
1/15/2015,23.7,14286.00
1/16/2015,23.55,17607.00
1/19/2015,23.6,8391.00
1/20/2015,23.6,14277.00
1/21/2015,23.8,14981.00
1/22/2015,23.95,13286.00
1/23/2015,24,24640.00
1/26/2015,24.1,8556.00
1/27/2015,24.25,12831.00
1/28/2015,24.25,13707.00
1/29/2015,24.25,12190.00
1/30/2015,24.2,18511.00
2/2/2015,24.4,10970.00
2/3/2015,24.25,4301.00
2/4/2015,24.6,16065.00
2/5/2015,24.75,29779.00
2/6/2015,24.35,16312.00
2/9/2015,24.25,5116.00
2/10/2015,24.35,13108.00
2/11/2015,24.35,13830.00
2/12/2015,24.6,10101.00
2/13/2015,24.7,22407.00
2/24/2015,25.05,36141.00
2/25/2015,25.1,21405.00
2/26/2015,24.95,22394.00
3/2/2015,24.5,23483.00
3/3/2015,24.8,17673.00
3/4/2015,24.7,14590.00
3/5/2015,24.55,13095.00
3/6/2015,24.8,17696.00
3/9/2015,24.6,11095.00
3/10/2015,24.6,14919.00
3/11/2015,24.65,23132.00
3/12/2015,25.2,31027.00
3/13/2015,25,21477.00
3/16/2015,24.9,7505.00
3/17/2015,25.05,10048.00
3/18/2015,25.65,35246.00
3/19/2015,25.9,30730.00
3/20/2015,25.7,17322.00
3/23/2015,25.9,12911.00
3/24/2015,25.85,17003.00
3/25/2015,25.5,17606.00
3/26/2015,25.5,18548.00
3/27/2015,25.05,24610.00
3/30/2015,25.65,21618.00
3/31/2015,25.95,30234.00
4/1/2015,25.8,10529.00
4/2/2015,25.95,23943.00
4/7/2015,26.05,18619.00
4/8/2015,25.85,11440.00
4/9/2015,25.9,17463.00
4/10/2015,26.1,15434.00
4/13/2015,26.3,18014.00
4/14/2015,26.2,17532.00
4/15/2015,26,28879.00
4/16/2015,26.4,21622.00
4/17/2015,26.2,17513.00
4/20/2015,26.25,15353.00
4/21/2015,26.25,18558.00
4/22/2015,26.45,19848.00
4/23/2015,28.25,77538.00
4/24/2015,28.25,55095.00
4/27/2015,28,62299.00
4/28/2015,28.05,45925.00
4/29/2015,27.7,41865.00
4/30/2015,27.3,38290.00
5/4/2015,27.05,31878.00
5/5/2015,27.05,30276.00
5/6/2015,27.45,35311.00
5/7/2015,27.35,26042.00
5/8/2015,27.2,12371.00
5/11/2015,26.9,22191.00
5/12/2015,27.25,26660.00
5/13/2015,27.8,35456.00
5/14/2015,26.9,33373.00
5/15/2015,27.15,22437.00
5/18/2015,27.55,24841.00
5/19/2015,27.45,38732.00
5/20/2015,27.6,20527.00
5/21/2015,27,27686.00
5/22/2015,26.95,16120.00
5/25/2015,26.7,14005.00
5/26/2015,27.2,8945.00
5/27/2015,27.4,19895.00
5/28/2015,27.25,23181.00
5/29/2015,27.5,29575.00
6/1/2015,27.4,17423.00
6/2/2015,27.5,20568.00
6/3/2015,27.3,17792.00
6/4/2015,27,32600.00
6/5/2015,26.85,25036.00
