Date,Open,High,Low,Close,Volume
7/3/2017,43.85,43.85,43.15,43.3,536
7/4/2017,43.35,43.95,43.15,43.2,723
7/5/2017,43.5,43.6,42.85,43,666
7/6/2017,43.05,43.05,42.35,42.4,818
7/7/2017,42.2,42.9,42.1,42.4,639
7/10/2017,43.5,44.65,43.35,44.35,5158
7/11/2017,45,45,43.9,44.1,2081
7/12/2017,44.6,46,44.6,44.9,5514
7/13/2017,44.8,45.15,44.2,44.45,1606
7/14/2017,44.5,44.9,44.1,44.25,1028
7/17/2017,44.4,44.7,43.7,43.7,1044
7/18/2017,44,46.6,43.8,46.1,7228
7/19/2017,46.1,47.9,45.1,45.5,9140
7/20/2017,45.8,46.2,45.3,45.75,2446
7/21/2017,45.7,46.05,45.45,45.9,1299
7/24/2017,46,46.9,46,46.55,2891
7/25/2017,47.2,47.55,46.1,46.1,2671
7/26/2017,46.6,46.6,45.7,45.7,1544
7/27/2017,46.15,46.65,45.85,45.85,1484
7/28/2017,46.15,46.15,44.8,44.9,1431
7/31/2017,44.9,46.35,44.9,46.35,1882
8/1/2017,46.35,50.5,46.1,49.95,14804
8/2/2017,50.8,51.8,49.1,49.3,9337
8/3/2017,49.7,51.3,49.7,50.2,6786
8/4/2017,51.1,55.2,50.6,55.2,15722
8/7/2017,57.6,60.7,57.6,60.7,11449
8/8/2017,60.5,60.5,55,57.8,11889
8/9/2017,59,63.5,58.6,63.5,18445
8/10/2017,65.1,68.1,60.9,61.5,46939
8/11/2017,62.5,67.6,61.8,67.6,24839
8/14/2017,68.3,68.3,62.5,63.2,17396
8/15/2017,68,69.5,66,68.8,28460
8/16/2017,66.1,69.6,66.1,68.8,18468
8/17/2017,71.2,75,71,75,23330
8/18/2017,73.2,82.5,72.9,82.5,32807
8/21/2017,85.3,90.7,85.3,90.7,16738
8/22/2017,95,97,87,90.4,32842
8/23/2017,89.5,92.5,89.4,89.5,7167
8/24/2017,91.5,91.5,88.7,88.9,4728
8/25/2017,91,92.6,90,90.1,4965
8/28/2017,92,99.1,89.4,99.1,7087
8/29/2017,99,107.5,94,105,7275
8/30/2017,105,115,102,111.5,4722
8/31/2017,114,118,108,113.5,4139
9/1/2017,115,120,110,120,3568
9/4/2017,118.5,130,118.5,128,6319
9/5/2017,131,133,129,131,5523
9/6/2017,132,144,131,144,14027
9/7/2017,149.5,154.5,138.5,143,26080
9/8/2017,136,148,136,143,2479
9/11/2017,146,146,140,140,1568
9/12/2017,142,142,126,126,1817
9/13/2017,123,123,113.5,113.5,3131
9/14/2017,107,122.5,107,120.5,4477
9/15/2017,118,121.5,117.5,121,1418
9/18/2017,118.5,122.5,118,122.5,1077
9/19/2017,125,130,125,127.5,1346
9/20/2017,130,133,128.5,133,1078
9/21/2017,136,145.5,135,145.5,1665
9/22/2017,144.5,145.5,131,131,9422
9/25/2017,128,128,118,118,8379
9/26/2017,118,121.5,109,110,12813
9/27/2017,114,121,114,121,11716
9/28/2017,121.5,123,116,121,9821
9/29/2017,121.5,121.5,114,117,6353
9/30/2017,120,123,118.5,118.5,4935
10/2/2017,117,120,113,119,7044
10/3/2017,121,130.5,121,130.5,10697
10/5/2017,133.5,143,131,140,23179
10/6/2017,141.5,148.5,138.5,143,18045
10/11/2017,148,149,134,136,14450
10/12/2017,127.5,137,124,134,13857
10/13/2017,136.5,139,133,133.5,8595
10/16/2017,131.5,136.5,128.5,132,7129
10/17/2017,134,141,131.5,131.5,12613
10/18/2017,134,136.5,127.5,130,8671
10/19/2017,134,142,132.5,138.5,15976
10/20/2017,137,140.5,133.5,134,9939
10/23/2017,134,135.5,128.5,129.5,10580
10/24/2017,130,134,129,130.5,6234
10/25/2017,132.5,133.5,129,129,3877
10/26/2017,128,128,124,128,5685
10/27/2017,126,131,118.5,121,9374
10/30/2017,123,124,115,118,9111
10/31/2017,119,122.5,119,121,4289
11/1/2017,125,126,117.5,119.5,5354
