Date,Open,High,Low,Close,Volume
2020/01/02,332.5,339,332.5,339,33282 
2020/01/03,344,345,335.5,339.5,42023 
2020/01/06,333,334.5,332,332,45677 
2020/01/07,332.5,333,326.5,329.5,51746 
2020/01/08,325,333,325,329.5,37913 
2020/01/09,335,337.5,333.5,337.5,32397 
2020/01/10,340.5,341,336,339.5,27880 
2020/01/13,342,342,339,341.5,30663 
2020/01/14,345.5,346,344.5,346,30368 
2020/01/15,345,345,337.5,340,54575 
2020/01/16,330,336.5,330,334.5,58217 
2020/01/17,334,335.5,332,333,53908 
2020/01/20,334,335.5,333,333,35551 
2020/01/30,326,326,316.5,316.5,126820 
2020/01/31,323,323.5,319,320,62912 
2020/02/03,315,316.5,312,315,59711 
2020/02/04,319,326,318,325,52208 
2020/02/05,329,329.5,324.5,327.5,36601 
2020/02/06,329.5,332.5,329,332.5,29659 
2020/02/07,330,330.5,326,328,30055 
2020/02/10,321.5,328,321,327.5,30814 
2020/02/11,330.5,332.5,330,331.5,29062 
2020/02/12,333.5,336,333,335,37612 
2020/02/13,338,338,335,335,23217 
2020/02/14,337,337,334.5,335,18326 
2020/02/17,331.5,333,330.5,331.5,16145 
2020/02/18,324.5,326.5,322,322,64662 
2020/02/19,322.5,327,322,326.5,48856 
2020/02/20,328,329,325,325.5,27061 
2020/02/21,325.5,326.5,323,325,22974 
2020/02/24,319.5,321.5,319.5,320,42946 
2020/02/25,320,323.5,317.5,322,38674 
2020/02/26,317,320.5,316.5,318.5,60768 
2020/02/27,319,320,315,316,62401 
2020/03/02,308,317,308,311,86372 
2020/03/03,318.5,320,316,317.5,55169 
2020/03/04,322,322,317,320.5,44745 
2020/03/05,325,326,323,323,38223 
2020/03/06,320,320.5,315,315,52807 
2020/03/09,307.5,310,305.5,305.5,88633 
2020/03/10,301.5,309,301,307,74869 
2020/03/11,309,310.5,302,302,64923 
2020/03/12,299,299,287,294,114173 
2020/03/13,275,294,272.5,290,151268 
2020/03/16,285,291,275.5,276.5,103933 
2020/03/17,265,276.5,265,268,122409 
2020/03/18,269.5,272.5,260,260,118620 
2020/03/19,252,253,235.5,248,160811 
2020/03/20,258.5,270,256,270,159179 
2020/03/23,257,262.5,252,255,76963 
2020/03/24,268,274,266,267.5,82377 
2020/03/25,276.5,280,274,277,80514 
2020/03/26,279.5,280,275.5,280,54189 
2020/03/27,284,286,273,273,69320 
2020/03/30,263.5,269,262.5,267.5,53403 
2020/03/31,273,274,269.5,274,53901 
2020/04/01,276.5,276.5,271.5,271.5,47572 
2020/04/06,273,275.5,270,275.5,59712 
2020/04/07,283.5,284,280.5,283,48887 
2020/04/08,285,285.5,283,285,38698 
2020/04/09,287.5,288,282.5,283,29276 
2020/04/10,280,282,279,279.5,28206 
2020/04/13,278.5,281.5,278.5,278.5,22196 
2020/04/14,281,285.5,280,285,50196 
2020/04/15,287,288.5,286,287.5,58561 
2020/04/16,283,288.5,283,286.5,48257 
2020/04/17,303.5,308.5,300.5,306.5,117447 
2020/04/20,308,309,302.5,304,44586 
2020/04/21,300.5,301.5,293.5,295,61949 
2020/04/22,294.5,295,290.5,294,43568 
2020/04/23,300,300,294,295.5,39977 
2020/04/24,295.5,297,294,294,26465 
2020/04/27,298,298.5,296,298,38493 
2020/04/28,298.5,298.5,294.5,296.5,37621 
2020/04/29,299,301.5,298,299,46253 
2020/04/30,302,305,301.5,304.5,58439 
2020/05/04,294.5,296.5,294,295,72252 
2020/05/05,296.5,298,295,295.5,23988 
2020/05/06,294.5,296,292.5,296,35704 
2020/05/07,294.5,299,294.5,297.5,28017 
2020/05/08,300,300,296,297.5,35613 
2020/05/11,300,301.5,298.5,301,32379 
2020/05/12,297.5,298.5,295,295,52494 
2020/05/13,293,297,292.5,297,46158 
2020/05/14,293,295,292.5,293,34480 
2020/05/15,297.5,298.5,294.5,298,44304 
2020/05/18,291,293.5,290,290,96872 
2020/05/19,294,294,291.5,291.5,53083 
2020/05/20,293,294,291,294,36789 
2020/05/21,296,298,295,297.5,36299 
2020/05/22,294.5,295,291,292,41138 
2020/05/25,290.5,293,288.5,292,32942 
2020/05/26,295,297.5,293.5,295.5,35817 
2020/05/27,297,298,295.5,296.5,23375 
2020/05/28,298.5,298.5,293,294,32395 
2020/05/29,292,292.5,290,292,96611 
2020/06/01,294,296.5,293.5,295.5,37936 
2020/06/02,296,297.5,296,296.5,26663 
2020/06/03,300,301,298,301,67894 
2020/06/04,305,306,304,306,47225 
2020/06/05,308.5,312,308,311.5,44077 
