2330 縩筿 -- 20110101-99999999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
るら,秨絃基(じ),程蔼基(じ),程基(じ),Μ絃基(じ),Θユ秖(),Θユ(じ),厨筍瞯,秅锣瞯,瑈硄计(),カ(κ窾じ),程处ボ禦基,程处ボ芥基,厨筍瞯-Ln,カゑ,Θユゑ,Θユ掸计(掸),セ痲ゑ-TSE,セ痲ゑ-TEJ,基瞓ゑ-TSE,基瞓ゑ-TEJ
2011/1/3,71.5,71.6,70.8,71.1,35747 ,2541551 ,0.1408,0.138,25910078 ,1842206 ,71,71.1,0.1407,7.721,1.76,7394 ,11.99,12.01,3.43,3.43
2011/1/4,71,71.6,70.8,71.2,36048 ,2567399 ,0.1406,0.1391,25910078 ,1844797 ,71.1,71.2,0.1405,7.756,1.636,8813 ,12.01,12.03,3.44,3.44
2011/1/5,70.9,71.1,69.6,69.8,54327 ,3811818 ,-1.9663,0.2097,25910078 ,1808523 ,69.8,69.9,-1.9859,7.733,2.184,12673 ,11.77,11.79,3.37,3.37
2011/1/6,69.8,71,69.7,71,46802 ,3295606 ,1.7192,0.1806,25910078 ,1839615 ,70.9,71,1.7046,7.834,2.443,8619 ,11.97,12,3.43,3.43
2011/1/7,71.9,73,71.9,72.5,170328 ,12335418 ,2.1127,0.6574,25910078 ,1878480 ,72.4,72.5,2.0907,8.343,8.044,23691 ,12.23,12.25,3.5,3.5
2011/1/10,73,74.2,72.6,74.2,69703 ,5110967 ,2.3448,0.269,25910078 ,1922527 ,74,74.2,2.3178,8.503,5.307,16369 ,12.51,12.54,3.58,3.58
2011/1/11,74.1,74.9,73.8,74.5,82758 ,6162045 ,0.4043,0.3194,25910078 ,1930300 ,74.4,74.5,0.4035,8.429,4.912,16810 ,12.56,12.59,3.6,3.6
2011/1/12,74.7,75,74.7,74.9,53637 ,4014372 ,0.5369,0.207,25910078 ,1940664 ,74.8,74.9,0.5355,8.443,2.945,10433 ,12.63,12.66,3.62,3.62
2011/1/13,75.1,75.3,74.2,74.6,93105 ,6938412 ,-0.4005,0.3593,25910078 ,1932891 ,74.5,74.6,-0.4013,8.4,4.914,12512 ,12.58,12.61,3.6,3.6
2011/1/14,74.4,74.8,74.1,74.8,29817 ,2220104 ,0.2681,0.1151,25910078 ,1938073 ,74.7,74.8,0.2677,8.425,2.213,5767 ,12.61,12.64,3.61,3.61
2011/1/17,75.4,75.9,75.3,75.8,67400 ,5092053 ,1.3369,0.2601,25910078 ,1963983 ,75.8,75.9,1.328,8.584,4.131,11899 ,12.78,12.81,3.66,3.66
2011/1/18,75.5,77.4,75.2,76.8,57357 ,4373750 ,1.3193,0.2214,25910078 ,1989893 ,76.8,76.9,1.3106,8.632,3.506,13917 ,12.95,12.98,3.71,3.71
2011/1/19,76.9,78.3,76.6,78,87297 ,6768302 ,1.5625,0.3369,25910078 ,2020986 ,77.9,78,1.5504,8.671,4.635,19410 ,13.15,13.18,3.77,3.77
2011/1/20,77,77,76.1,76.4,43718 ,3341141 ,-2.0513,0.1687,25910078 ,1979529 ,76.3,76.4,-2.0726,8.553,2.901,14962 ,12.88,12.91,3.69,3.69
2011/1/21,74,75.2,74,74.6,81475 ,6091444 ,-2.356,0.3145,25910078 ,1932891 ,74.5,74.6,-2.3842,8.415,5.237,15460 ,12.58,12.61,3.6,3.6
2011/1/24,75.2,75.4,74.6,75.3,46169 ,3467457 ,0.9383,0.1782,25910078 ,1951028 ,75.2,75.3,0.934,8.5,3.844,8248 ,12.7,12.72,3.64,3.64
2011/1/25,75.9,75.9,74.9,75,50794 ,3826117 ,-0.3984,0.196,25910078 ,1943255 ,75,75.1,-0.3992,8.426,3.554,9000 ,12.65,12.67,3.62,3.62
2011/1/26,74.6,75.2,74.3,74.6,66830 ,4989976 ,-0.5333,0.2579,25910078 ,1932891 ,74.6,74.7,-0.5348,8.321,4.05,11664 ,12.58,12.61,3.6,3.6
2011/1/27,74.9,75.4,74.8,75.2,69892 ,5251216 ,0.8043,0.2697,25910078 ,1948437 ,75.2,75.3,0.8011,8.343,3.896,13786 ,12.68,12.71,3.63,3.63
2011/1/28,75.2,76.9,74.9,76.3,110404 ,8379115 ,1.4628,0.4261,25912345 ,1977111 ,76.3,76.4,1.4522,8.423,5.959,22572 ,12.87,12.89,3.68,3.68
2011/2/8,77,77,74.8,75.5,110969 ,8381585 ,-1.0485,0.4282,25912345 ,1956382 ,75.4,75.5,-1.054,8.308,5.322,26740 ,12.73,12.76,3.65,3.65
2011/2/9,75.5,75.6,73.8,73.8,81246 ,6040472 ,-2.2517,0.3135,25912345 ,1912331 ,73.8,73.9,-2.2774,8.215,4.235,20142 ,12.45,12.47,3.56,3.56
2011/2/10,73.1,73.4,72,72,83632 ,6078858 ,-2.439,0.3227,25912345 ,1865688 ,72,72.2,-2.4693,8.169,4.313,20588 ,12.14,12.17,3.48,3.48
2011/2/11,72.2,72.4,70.9,71.4,112430 ,8044680 ,-0.8333,0.4339,25912345 ,1850141 ,71.3,71.4,-0.8368,8.315,4.857,26850 ,12.04,12.07,3.45,3.45
2011/2/14,72,72.9,71.5,72.5,66889 ,4841305 ,1.5406,0.2581,25912345 ,1878645 ,72.4,72.5,1.5289,8.37,4.125,14377 ,12.23,12.25,3.5,3.5
2011/2/15,72.4,73.1,71.4,72.5,56495 ,4102685 ,0,0.218,25912345 ,1878645 ,72.5,72.6,0,8.335,3.155,13726 ,12.23,12.25,3.5,3.5
2011/2/16,72.4,72.7,71.9,72.1,54423 ,3933560 ,-0.5517,0.21,25912345 ,1868280 ,72,72.1,-0.5533,8.297,3.273,11904 ,12.16,12.18,3.48,3.48
2011/2/17,72.4,72.9,71.6,72.5,49330 ,3562377 ,0.5548,0.1904,25912345 ,1878645 ,72.4,72.5,0.5533,8.371,2.984,11030 ,12.23,12.25,3.5,3.5
2011/2/18,73.1,73.9,73,73,74599 ,5483477 ,0.6897,0.2879,25912345 ,1891601 ,73,73.1,0.6873,8.276,4.372,14923 ,12.31,12.34,3.52,3.53
2011/2/21,73.1,73.4,72.3,73.4,39070 ,2849659 ,0.5479,0.1508,25912345 ,1901966 ,73.3,73.4,0.5464,8.326,2.487,7394 ,12.38,12.4,3.54,3.54
2011/2/22,72.2,72.5,71.2,72.5,82661 ,5929226 ,-1.2262,0.319,25912345 ,1878645 ,72.4,72.5,-1.2337,8.382,4.053,18155 ,12.23,12.25,3.5,3.5
2011/2/23,71.5,71.9,70.5,71,80262 ,5724036 ,-2.069,0.3097,25912345 ,1839776 ,71,71.1,-2.0907,8.348,4.373,19137 ,11.97,12,3.43,3.43
