2330 台積電 -- 20110101-99999999,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ
2011/01/03,71.5,71.6,70.8,71.1,"35,747","2,541,551",0.1408,0.138,"25,910,078","1,842,206",71,71.1,0.1407,7.721,1.76,"7,394",11.99,12.01,3.43,3.43
2011/01/04,71,71.6,70.8,71.2,"36,048","2,567,399",0.1406,0.1391,"25,910,078","1,844,797",71.1,71.2,0.1405,7.756,1.636,"8,813",12.01,12.03,3.44,3.44
2011/01/05,70.9,71.1,69.6,69.8,"54,327","3,811,818",-1.9663,0.2097,"25,910,078","1,808,523",69.8,69.9,-1.9859,7.733,2.184,"12,673",11.77,11.79,3.37,3.37
2011/01/06,69.8,71,69.7,71,"46,802","3,295,606",1.7192,0.1806,"25,910,078","1,839,615",70.9,71,1.7046,7.834,2.443,"8,619",11.97,12,3.43,3.43
2011/01/07,71.9,73,71.9,72.5,"170,328","12,335,418",2.1127,0.6574,"25,910,078","1,878,480",72.4,72.5,2.0907,8.343,8.044,"23,691",12.23,12.25,3.5,3.5
2011/01/10,73,74.2,72.6,74.2,"69,703","5,110,967",2.3448,0.269,"25,910,078","1,922,527",74,74.2,2.3178,8.503,5.307,"16,369",12.51,12.54,3.58,3.58
2011/01/11,74.1,74.9,73.8,74.5,"82,758","6,162,045",0.4043,0.3194,"25,910,078","1,930,300",74.4,74.5,0.4035,8.429,4.912,"16,810",12.56,12.59,3.6,3.6
2011/01/12,74.7,75,74.7,74.9,"53,637","4,014,372",0.5369,0.207,"25,910,078","1,940,664",74.8,74.9,0.5355,8.443,2.945,"10,433",12.63,12.66,3.62,3.62
2011/01/13,75.1,75.3,74.2,74.6,"93,105","6,938,412",-0.4005,0.3593,"25,910,078","1,932,891",74.5,74.6,-0.4013,8.4,4.914,"12,512",12.58,12.61,3.6,3.6
2011/01/14,74.4,74.8,74.1,74.8,"29,817","2,220,104",0.2681,0.1151,"25,910,078","1,938,073",74.7,74.8,0.2677,8.425,2.213,"5,767",12.61,12.64,3.61,3.61
2011/01/17,75.4,75.9,75.3,75.8,"67,400","5,092,053",1.3369,0.2601,"25,910,078","1,963,983",75.8,75.9,1.328,8.584,4.131,"11,899",12.78,12.81,3.66,3.66
2011/01/18,75.5,77.4,75.2,76.8,"57,357","4,373,750",1.3193,0.2214,"25,910,078","1,989,893",76.8,76.9,1.3106,8.632,3.506,"13,917",12.95,12.98,3.71,3.71
2011/01/19,76.9,78.3,76.6,78,"87,297","6,768,302",1.5625,0.3369,"25,910,078","2,020,986",77.9,78,1.5504,8.671,4.635,"19,410",13.15,13.18,3.77,3.77
2011/01/20,77,77,76.1,76.4,"43,718","3,341,141",-2.0513,0.1687,"25,910,078","1,979,529",76.3,76.4,-2.0726,8.553,2.901,"14,962",12.88,12.91,3.69,3.69
2011/01/21,74,75.2,74,74.6,"81,475","6,091,444",-2.356,0.3145,"25,910,078","1,932,891",74.5,74.6,-2.3842,8.415,5.237,"15,460",12.58,12.61,3.6,3.6
2011/01/24,75.2,75.4,74.6,75.3,"46,169","3,467,457",0.9383,0.1782,"25,910,078","1,951,028",75.2,75.3,0.934,8.5,3.844,"8,248",12.7,12.72,3.64,3.64
2011/01/25,75.9,75.9,74.9,75,"50,794","3,826,117",-0.3984,0.196,"25,910,078","1,943,255",75,75.1,-0.3992,8.426,3.554,"9,000",12.65,12.67,3.62,3.62
2011/01/26,74.6,75.2,74.3,74.6,"66,830","4,989,976",-0.5333,0.2579,"25,910,078","1,932,891",74.6,74.7,-0.5348,8.321,4.05,"11,664",12.58,12.61,3.6,3.6
2011/01/27,74.9,75.4,74.8,75.2,"69,892","5,251,216",0.8043,0.2697,"25,910,078","1,948,437",75.2,75.3,0.8011,8.343,3.896,"13,786",12.68,12.71,3.63,3.63
2011/01/28,75.2,76.9,74.9,76.3,"110,404","8,379,115",1.4628,0.4261,"25,912,345","1,977,111",76.3,76.4,1.4522,8.423,5.959,"22,572",12.87,12.89,3.68,3.68
2011/02/08,77,77,74.8,75.5,"110,969","8,381,585",-1.0485,0.4282,"25,912,345","1,956,382",75.4,75.5,-1.054,8.308,5.322,"26,740",12.73,12.76,3.65,3.65
2011/02/09,75.5,75.6,73.8,73.8,"81,246","6,040,472",-2.2517,0.3135,"25,912,345","1,912,331",73.8,73.9,-2.2774,8.215,4.235,"20,142",12.45,12.47,3.56,3.56
